text,label
"Win a free iPhone now!",1
"Meeting at 3pm tomorrow",0
"Limited time offer! Act now!",1
"Your account statement is ready",0
"Congratulations! You've won $1000!",1
"Reminder: Team standup at 10am",0
"URGENT: Claim your prize today!",1
"Invoice #12345 attached",0
"Free money! No strings attached!",1
"Project deadline is Friday",0
"Click here for amazing deals!",1
"Conference call rescheduled to 2pm",0
"Get rich quick! Make $5000 in one week!",1
"Please review the attached contract",0
"WINNER! You've been selected for a special offer!",1
"Meeting notes from yesterday's discussion",0
"Lose 30 pounds in 30 days! Guaranteed results!",1
"Your password has been updated successfully",0
"CALL NOW! Limited time cash offer expires today!",1
"Thank you for your recent purchase",0
"Nigerian prince needs your help transferring millions",1
"Weekly team newsletter attached",0
"BREAKING: You qualify for a $10,000 loan!",1
"Scheduled maintenance window this weekend",0
"Hot singles in your area want to meet you!",1
"Your appointment has been confirmed for Monday",0
"PHARMACY ONLINE - No prescription needed!",1
"Please find the quarterly report attached",0
"Make money from home! Work 2 hours, earn $500!",1
"Reminder: All-hands meeting tomorrow at 9am",0
"CONGRATULATIONS! You're pre-approved for credit!",1
"Your order #98765 has been shipped",0
"Miracle weight loss pill - doctors hate this trick!",1
"Code review scheduled for this afternoon",0
"URGENT: Your account will be closed in 24 hours",1
"Welcome to our company! Here's your employee handbook",0
"Click to claim your $500 Amazon gift card!",1
"Client presentation moved to next Tuesday",0
"ADULTS ONLY - Exclusive content just for you!",1
"IT Security alert: Please update your browser",0
"Work from home and earn thousands! No experience needed!",1
"Your subscription renewal is due next month",0
"FINAL NOTICE: Your warranty is about to expire!",1
"Team building event next Friday - RSVP required",0
"Enlarge your... bank account with our investment tips!",1
"Server maintenance completed successfully",0
"STOP! You've been chosen for an exclusive opportunity!",1
"Please review and approve the budget proposal",0
"EARN $100 per hour working from home!",1
"Your flight check-in is now available",0
"FREE TRIAL - Anti-aging cream that actually works!",1
"Monthly sales figures are ready for review",0
"You've inherited millions! Contact us immediately!",1
"Your reservation at Restaurant ABC is confirmed",0
"ELIMINATE DEBT FAST! Government program available!",1
"Training session rescheduled to next week",0
"SHOCKING: Local mom discovers fountain of youth!",1
"Your software license expires in 30 days",0
"MAKE MONEY ONLINE! Start earning today with zero investment!",1
"Performance review meeting scheduled for Thursday",0
"CASH ADVANCE up to $1500! Bad credit OK!",1
"Your recent transaction has been processed",0
"DOCTORS SHOCKED by this one weird trick!",1
"Please submit your timesheet by end of day",0
"WIN BIG! Lottery numbers inside - guaranteed winner!",1
"Your appointment reminder for dental cleaning",0
"REFINANCE NOW! Rates have never been lower!",1
"Project kickoff meeting agenda attached",0
"BIZARRE TRICK burns belly fat overnight!",1
"Your package delivery is scheduled for tomorrow",0
"URGENT RESPONSE REQUIRED - Legal matter pending",1
"Lunch meeting with client moved to 1pm",0
"DATING ALERT: Someone has a crush on you!",1
"Your vacation request has been approved",0
"MIRACLE CURE discovered by local doctor!",1
"Budget meeting minutes from last week",0
"FREE LAPTOP! Just pay shipping and handling!",1
"Your car insurance renewal notice",0
"WORK FROM ANYWHERE! Join thousands making money online!",1
"Please find the updated project timeline",0
"AMAZING OPPORTUNITY! Multi-level marketing success awaits!",1
"Your gym membership expires next month",0
"HOT STOCK TIP! This company will make you rich!",1
"Team lunch reservation confirmed for Friday",0
"EXCLUSIVE INVITATION to make unlimited income!",1
"Your library books are due for return",0
"BREAKTHROUGH! Scientists discover age-reversing formula!",1
"Please complete the employee satisfaction survey",0
"GUARANTEED APPROVAL! Get your loan in 5 minutes!",1
"Your doctor appointment is confirmed for 2pm",0
"SCANDAL! Celebrity diet secret finally revealed!",1
"Quarterly business review scheduled for next month",0
"TRIPLE YOUR INCOME! Part-time work, full-time pay!",1
"Your utility bill is now available online",0
"LAST CHANCE! Exclusive offer expires at midnight!",1
"Code deployment scheduled for this evening",0
"MALE ENHANCEMENT pills - discreet shipping available!",1
"Your course enrollment has been confirmed",0
"REVOLUTIONARY! New technology changes everything!",1
"Please review the contract amendments",0
"GOVERNMENT GRANTS available - you may qualify!",1
"Your streaming service payment was processed",0
"INSIDER TRADING SECRETS revealed by Wall Street expert!",1
"Reminder: Submit expense reports by Friday",0
"FOUNTAIN OF YOUTH discovered in remote village!",1
"Your flight has been delayed by 30 minutes",0
"LOSE WEIGHT WITHOUT DIET OR EXERCISE!",1
"Team retrospective meeting notes attached",0
"MORTGAGE RATES plummet - refinance today and save!",1
"Your Amazon order will arrive tomorrow",0
"CRYPTO MILLIONAIRE reveals secret trading strategy!",1
"Please update your emergency contact information",0
"AVOID FORECLOSURE! We can help save your home!",1
"Your prescription is ready for pickup",0
"EXCLUSIVE CASINO BONUS just for you! Claim now!",1
"Client feedback survey results attached",0
